Country,Entry Year
Albania,2005
Argentina,1994
Australia,1989
Austria,1994
Azerbaijan,2004
Belarus,2003
Belgium,1976
Bolivia (Plurinational State of),1999
Bosnia and Herzegovina,2017
Bulgaria,1998
Canada,1991
Chile,1996
"China, mainland",1999
Colombia,1996
Costa Rica,2009
Croatia,2001
Czechia,1993
Denmark,1968
Dominican Republic,2007
Ecuador,1997
Egypt,2019
Estonia,2000
Finland,1993
France,1971
Georgia,2008
Germany,1968
Ghana,2021
Hungary,1983
Iceland,2006
Ireland,1981
Israel,1979
Italy,1977
Japan,1982
Jordan,2004
Kenya,1999
Kyrgyzstan,2000
Latvia,2002
Lithuania,2003
Mexico,1997
Montenegro,2015
Morocco,2006
Netherlands,1968
New Zealand,1981
North Macedonia,2011
Norway,1993
Oman,2009
Panama,1999
Paraguay,1997
Peru,2011
Poland,1989
Portugal,1995
Republic of Korea,2002
Republic of Moldova,1998
Romania,2001
Russian Federation,1998
Serbia,2013
Singapore,2004
Slovakia,1993
Slovenia,1999
South Africa,1977
Spain,1980
Saint Vincent and the Grenadines,2021
Sweden,1971
Switzerland,1977
United Republic of Tanzania,2015
Trinidad and Tobago,1998
Tunisia,2003
TÃ¼rkiye,2007
United Kingdom of Great Britain and Northern Ireland,1968
Ukraine,1995
Uruguay,1994
United States of America,1981
Uzbekistan,2004
Viet Nam,2006
Brazil,1999
Nicaragua,2001
